2368     ;IMO_2132_047                                      ;Router imo                                                                                          ;Tableta                                                                                             ;                                                                                                    ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
2384     ;IMO_2132_048                                      ;Sistem teleconferinta                                                                               ;Alte echipamente tehnice IT                                                                         ;                                                                                                    ;27255    ;213201                   ;MFIX_2132                                                                                           ;IT                                                     ;
1954     ;IMO_214_001                                       ;Frigider_                                                                                           ;Frigider                                                                                            ;Frigider_                                                                                           ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1955     ;IMO_214_002                                       ;Schreder_                                                                                           ;Schreder                                                                                            ;Schreder_                                                                                           ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1956     ;IMO_214_003                                       ;Telefon Cisco                                                                                       ;Telefon Cisco                                                                                       ;Telefon Cisco                                                                                       ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1957     ;IMO_214_004                                       ;Telefon viedocall                                                                                   ;Telefon viedocall                                                                                   ;Telefon viedocall                                                                                   ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1958     ;IMO_214_005                                       ;Sistem TV sala conferinta                                                                           ;Sistem TV sala conferinta                                                                           ;Sistem TV sala confe                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1959     ;IMO_214_006                                       ;Sistem audioconferinta                                                                              ;Sistem audioconferinta                                                                              ;Sistem audioconferin                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1960     ;IMO_214_007                                       ;Licenta audioconferinta                                                                             ;Licenta audioconferinta                                                                             ;Licenta audioconferi                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1962     ;IMO_214_009                                       ;Suport TV perete                                                                                    ;Suport TV perete                                                                                    ;Suport TV perete                                                                                    ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1963     ;IMO_214_010                                       ;Videoproiector to reclass                                                                           ;Videoproiector to reclass                                                                           ;Videoproiector to re                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1964     ;IMO_214_011                                       ;Ecran proiectie                                                                                     ;Ecran proiectie                                                                                     ;Ecran proiectie                                                                                     ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1965     ;IMO_214_012                                       ;Statie Conferinta                                                                                   ;Statie Conferinta                                                                                   ;Statie Conferinta                                                                                   ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1966     ;IMO_214_013                                       ;Modul ventilator Cisco                                                                              ;Modul ventilator Cisco                                                                              ;Modul ventilator Cis                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1967     ;IMO_214_014                                       ;Caracatita Sala Conferinte                                                                          ;Caracatita Sala Conferinte                                                                          ;Caracatita Sala Conf                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;IT                                                     ;
1968     ;IMO_214_015                                       ;Rollbox / casetiera mobila_                                                                         ;Rollbox / casetiera mobila                                                                          ;Rollbox / casetiera mobila_                                                                         ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1969     ;IMO_214_068                                       ;Dulap_                                                                                              ;Dulap                                                                                               ;Dulap_                                                                                              ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1970     ;IMO_214_016                                       ;Dulap  lemn_                                                                                        ;Dulap  lemn                                                                                         ;Dulap  lemn_                                                                                        ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1971     ;IMO_214_017                                       ;Dulap metalic_                                                                                      ;Dulap metalic                                                                                       ;Dulap metalic_                                                                                      ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1972     ;IMO_214_018                                       ;Dulap lemn usi glisante_                                                                            ;Dulap lemn usi glisante                                                                             ;Dulap lemn usi glisante_                                                                            ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1973     ;IMO_214_019                                       ;Mobila bucatarie                                                                                    ;Mobila bucatarie                                                                                    ;Mobila bucatarie                                                                                    ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1974     ;IMO_214_020                                       ;Mobila receptie                                                                                     ;Mobila receptie                                                                                     ;Mobila receptie                                                                                     ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1975     ;IMO_214_021                                       ;Mobila relaxare                                                                                     ;Mobila relaxare                                                                                     ;Mobila relaxare                                                                                     ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1976     ;IMO_214_022                                       ;Alte elemente de mobilier                                                                           ;Alte elemente de mobilier                                                                           ;Alte elemente de mob                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1977     ;IMO_214_023                                       ;Seif                                                                                                ;Seif                                                                                                ;Seif                                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1978     ;IMO_214_024                                       ;Perete mobil                                                                                        ;Perete mobil                                                                                        ;Perete mobil                                                                                        ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1979     ;IMO_214_025                                       ;Perete fonoabsorbant                                                                                ;Perete fonoabsorbant                                                                                ;Perete fonoabsorbant                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1980     ;IMO_214_026                                       ;Cabina fonoabsorbanta                                                                               ;Cabina fonoabsorbanta                                                                               ;Cabina fonoabsorbant                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1981     ;IMO_214_027                                       ;Perete mobil sticla                                                                                 ;Perete mobil sticla                                                                                 ;Perete mobil sticla                                                                                 ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1982     ;IMO_214_028                                       ;Etajera                                                                                             ;Etajera                                                                                             ;Etajera                                                                                             ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1983     ;IMO_214_029                                       ;Erajera metalica                                                                                    ;Erajera metalica                                                                                    ;Erajera metalica                                                                                    ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1984     ;IMO_214_030                                       ;Rafturi metalice_                                                                                   ;Rafturi metalice                                                                                    ;Rafturi metalice_                                                                                   ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1985     ;IMO_214_031                                       ;Scaun inalt tip bar                                                                                 ;Scaun inalt tip bar                                                                                 ;Scaun inalt tip bar                                                                                 ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1986     ;IMO_214_032                                       ;Scaun bucatarie_                                                                                    ;Scaun bucatarie                                                                                     ;Scaun bucatarie_                                                                                    ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
