738      ;Locatie client           ;4106     ;FZ0780                                                 ;EXPO MEDIA AGENCY  RO14094749                                                                                                                              ;EXPO MEDIA AGENCY                                                                                                                                          ;MFZ0218                                                ;                                                       ;UE                       ;
739      ;Locatie client           ;4107     ;FZ0208                                                 ;INDEPENDENT CONSULTANTS SRL  RO14169345                                                                                                                    ;INDEPENDENT CONSULTANTS SRL                                                                                                                                ;MFZ0219                                                ;BUCURESTI                                              ;UE                       ;
740      ;Locatie client           ;4108     ;FZ0237                                                 ;ASTORIA SRL  RO14176008                                                                                                                                    ;ASTORIA SRL                                                                                                                                                ;MFZ0220                                                ;                                                       ;UE                       ;
741      ;Locatie client           ;4109     ;FZ0595                                                 ;BRAINSPOTTING SRL  RO14217477                                                                                                                              ;BRAINSPOTTING SRL                                                                                                                                          ;MFZ0221                                                ;                                                       ;UE                       ;
742      ;Locatie client           ;4110     ;FZ0820                                                 ;INROMINDIA TRADING SRL  RO14223835                                                                                                                         ;INROMINDIA TRADING SRL                                                                                                                                     ;MFZ0222                                                ;                                                       ;UE                       ;
743      ;Locatie client           ;4111     ;FZ0626                                                 ;MAX DUVAL INTERNATIONAL S.R.L.  RO14225445                                                                                                                 ;MAX DUVAL INTERNATIONAL S.R.L.                                                                                                                             ;MFZ0223                                                ;                                                       ;UE                       ;
744      ;Locatie client           ;4112     ;FZ0234                                                 ;MUZEULUI TARANULUI ROMAN  RO14244170                                                                                                                       ;MUZEULUI TARANULUI ROMAN                                                                                                                                   ;MFZ0224                                                ;                                                       ;UE                       ;
745      ;Locatie client           ;4113     ;FZ0158                                                 ;BRICOSTORE ROMANIA SA  RO14328360                                                                                                                          ;BRICOSTORE ROMANIA SA                                                                                                                                      ;MFZ0225                                                ;SECTOR 6, BUCURESTI                                    ;UE                       ;
746      ;Locatie client           ;4114     ;FZ0300                                                 ;ELSACO SOLUTIONS SRL  RO14364265                                                                                                                           ;ELSACO SOLUTIONS SRL                                                                                                                                       ;MFZ0226                                                ;                                                       ;UE                       ;
747      ;Locatie client           ;4115     ;FZ0445                                                 ;TEMA ENERGY SRL  RO14389359                                                                                                                                ;TEMA ENERGY SRL                                                                                                                                            ;MFZ0227                                                ;                                                       ;UE                       ;
