10782    ;Locatie client                                         ;367      ;CL0005                                                 ;SOCIETE GENERALE PRIVATE BANKING SUISSE                                                                                                                    ;SOCIETE GENERALE PRIVATE BANKING SUISSE                                                                                                                    ;MCLI0032                                               ;
10781    ;Locatie client                                         ;368      ;CL0006                                                 ;SOCIETE GENERALE ZURICH BRANCH                                                                                                                             ;SOCIETE GENERALE ZURICH BRANCH                                                                                                                             ;MCL0006                                                ;
10780    ;Locatie client                                         ;369      ;CL0007                                                 ;SOCIETE GENERALE DFIN/DTO                                                                                                                                  ;SOCIETE GENERALE                                                                                                                                           ;MCLI0004                                               ;
10779    ;Locatie client                                         ;370      ;CL0008                                                 ;SOCIETE GENERALE FRANKFURT                                                                                                                                 ;SOCIETE GENERALE FRANKFURT                                                                                                                                 ;MCL0008                                                ;
10778    ;Locatie client                                         ;371      ;CL0009                                                 ;SOCIETE GENERALE SUC EN ESPANA                                                                                                                             ;SOCIETE GENERALE SUC EN ESPANA                                                                                                                             ;MCL0009                                                ;
373      ;Locatie client                                         ;373      ;CL0019                                                 ;SOCIETE GENERALE BANK&TRUST                                                                                                                                ;SOCIETE GENERALE LUXEMBOURG                                                                                                                                ;MCL0011                                                ;
10777    ;Locatie client                                         ;374      ;CL0025                                                 ;SG Kleinwort Hambros Bank Limited (Channel Islands)                                                                                                        ;SG Kleinwort Hambros Bank Limited (Channel Islands)                                                                                                        ;MCL0012                                                ;
10776    ;Locatie client                                         ;375      ;CL0026                                                 ;SG Kleinwort Hambros Bank Limited (GIBRALTAR)                                                                                                              ;SG Kleinwort Hambros Bank Limited (GIBRALTAR)                                                                                                              ;MCL0013                                                ;
376      ;Locatie client                                         ;376      ;CL0108                                                 ;SOCIETE GENERALE SECURITIES SERVICES SPA                                                                                                                   ;SOCIETE GENERALE SECURITIES SERVICES SPA                                                                                                                   ;MCL0014                                                ;
377      ;Locatie client                                         ;377      ;CL0030                                                 ;SOCIETE GENERALE PRIVATE BANKING BAHAMAS LTD                                                                                                               ;SOCIETE GENERALE PRIVATE BANKING BAHAMAS LTD                                                                                                               ;MCL0015                                                ;
378      ;Locatie client                                         ;378      ;CL0033                                                 ;BRD FINANCE IFN SA                                                                                                                                         ;BRD FINANCE IFN SA                                                                                                                                         ;MCL0016                                                ;
379      ;Locatie client                                         ;379      ;CL0073                                                 ;BRD SOC. DE ADMINISTRARE A FONDURILOR DE PENSII PR                                                                                                         ;BRD SOC. DE ADMINISTRARE A FONDURILOR DE PENSII PR                                                                                                         ;MCL0017                                                ;
